description,coarsedescription,Comment
REIMB. MTG EXP (WATER ST),EVENT COSTS,
FUNDRAISER TRAVEL,FUNDRAISING,
JUNE FUNDRAISING,FUNDRAISING,
OCTOBER FUNDRAISING,FUNDRAISING,
AUGUST TREASURY & FUNDRAISING,FUNDRAISING,
BUMPER STICKERS/FLYERS,GRAPHIC DESIGN AND PRINTING,
DOORBELLER PRINTING (OVERNIGHT),GRAPHIC DESIGN AND PRINTING,
EST. DOORBELLERS PRINT (CAPCITY),GRAPHIC DESIGN AND PRINTING,
EST. MAILER PRINT & DESIGN(PUBLISHER-CAPCITY-JENNERGY),GRAPHIC DESIGN AND PRINTING,
FUND RAISING MAILING,GRAPHIC DESIGN AND PRINTING,
GRAPHIC DESIGN (KAYLORMADE),GRAPHIC DESIGN AND PRINTING,
LITERATURE DESIGN,GRAPHIC DESIGN AND PRINTING,
"MAILER PRINT & DESIGN (CAPCITY, KAYLORMADE)",GRAPHIC DESIGN AND PRINTING,
"PRINT,DESIGN/SHIP 5000 REMIT ENVELOPES",GRAPHIC DESIGN AND PRINTING,
PRINTING,GRAPHIC DESIGN AND PRINTING,
"REMITS, ENVELOPES, LTRHD PRINT (CAPCITY)",GRAPHIC DESIGN AND PRINTING,
SLIM JIM DESIGN,GRAPHIC DESIGN AND PRINTING,SLIM JIM DESIGN FEE WAS PAID TO DATAGRAPHICS
WSST,GRAPHIC DESIGN AND PRINTING,
YARD SIGNS,GRAPHIC DESIGN AND PRINTING,
KEY ,KEY ,
MAILING SERVICES,MAILING SERVICES,
POSTAGE,MAILING SERVICES,
POSTAGE/PRINTING,MAILING SERVICES,
PRIMARY ELECTION MAILING EXPENDITURE,MAILING SERVICES,
REIMB. PO BOX RENEWAL (USPS),MAILING SERVICES,
STAMPS,MAILING SERVICES,
OFFICE SUPPLIES/ WATER FOR KICKOFF,OFFICE SUPPLIES,
REIMB. MILEAGE & PARKING,Operation and Overhead,
STIPEND,Operation and Overhead,
WAGES,Operation and Overhead,Jim put this as oper and overhead.  It is not coded like that in raw data.
POLL (PRECISION POLLING),POLLING,
REIMB. BUSINESS LICENSE (DOL),REIMB. BUSINESS LICENSE (DOL),
RE-ORDER TEE SHIRTS,TEE SHIRTS,
$750 PER MONTH THROUGH OCTOBER,TELECOM,
REIMB. CELL & DATA (AT&T),TELECOM,
REIMB. JULY CELL (VERIZON),TELECOM,
TELEPHONING,TELECOM,
JANUARY SERVICES,TRAINING,
AIRFARE,TRAVEL AND LODGING,
LODGING,TRAVEL AND LODGING,
APRIL TREASURY,TREASURY,
AUGUST TREASURY,TREASURY,
DECEMBER TREASURY,TREASURY,
EST. DECEMBER TREASURY,TREASURY,
EST. NOVEMBER TREASURY,TREASURY,
EST. SEPTEMBER TREASURY,TREASURY,
FEBRUARY TREASURY,TREASURY,
JANUARY TREASURY,TREASURY,
JULY TREASURY,TREASURY,
JUNE TREASURY,TREASURY,
MARCH TREASURY,TREASURY,
MAY TREASURY,TREASURY,
NOVEMBER TREASURY,TREASURY,
OCTOBER TREASURY,TREASURY,
SEPTEMBER TREASURY,TREASURY,
TREASURY - FEBRUARY,TREASURY,
TREASURY- APRIL,TREASURY,
TREASURY SERVICES,TREASURY,
TREASURY: JUNE,TREASURY,
TREASURY: MARCH,TREASURY,
TREASURY-DEC,TREASURY,
TREASURY-NOV,TREASURY,
COMPUTER REPAIR/DIAGNOSIS,WEB AND DATA SERVICES,
DATA SERVICES,WEB AND DATA SERVICES,
DATABASE SERVICE,WEB AND DATA SERVICES,
DATABASE STARTUP,WEB AND DATA SERVICES,
REIMB. COMPUTER FEE,WEB AND DATA SERVICES,
REIMB. DOMAIN UPDATES (BLUE UTOPIA),WEB AND DATA SERVICES,BLUE UTOPIA PROVIDES WEBSITES FOR POLITICAL CAMPAIGNS
WEBHOSTING,WEB AND DATA SERVICES,
WEBSITE ESTIMATE,WEB AND DATA SERVICES,
WEBSITE FEES,WEB AND DATA SERVICES,
WIN BONUS,WEB AND DATA SERVICES,WIN BONUS WAS PAID TO TR STRATEGIES A DATA ANALYSIS FIRM
